"param_num","sim_num","model","estimator","basis_dim","sigma_type","AIPW_estimate","HOIF_correction","ATE_estimate","true_ATE","bias","magnitude","noise","confounding"
17,28,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.144938745788203,178.9150486963,179.059987442088,0.125600495893383,178.934386946195,0,0,0
17,29,"glm","AIPW",NA,NA,0.0948759281839155,NA,0.0948759281839155,0.125600495893383,-0.0307245677094674,0,0,0
17,29,"glm","HOIF_basis_dim25",25,"tr1",0.0948759281839155,-0.034424329566068,0.0604515986178475,0.125600495893383,-0.0651488972755354,0,0,0
17,29,"glm","HOIF_basis_dim261",261,"tr2",0.0948759281839155,-0.0284397415434664,0.0664361866404491,0.125600495893383,-0.0591643092529338,0,0,0
17,29,"glm","HOIF_basis_dim1485",1485,"tr3",0.0948759281839155,70.277666855376,70.3725427835599,0.125600495893383,70.2469422876665,0,0,0
17,29,"glm","HOIF_basis_dim25",25,"nlshrink1",0.0948759281839155,-0.0341581237144754,0.0607178044694401,0.125600495893383,-0.0648826914239428,0,0,0
17,29,"glm","HOIF_basis_dim261",261,"nlshrink2",0.0948759281839155,-0.0781863578826087,0.0166895703013068,0.125600495893383,-0.108910925592076,0,0,0
17,29,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.0948759281839155,-0.262087947508838,-0.167212019324923,0.125600495893383,-0.292812515218306,0,0,0
17,30,"glm","AIPW",NA,NA,0.117393954099299,NA,0.117393954099299,0.125600495893383,-0.00820654179408387,0,0,0
17,30,"glm","HOIF_basis_dim25",25,"tr1",0.117393954099299,-0.0218209038743734,0.0955730502249256,0.125600495893383,-0.0300274456684573,0,0,0
17,30,"glm","HOIF_basis_dim261",261,"tr2",0.117393954099299,-0.12741540555733,-0.0100214514580306,0.125600495893383,-0.135621947351413,0,0,0
17,30,"glm","HOIF_basis_dim1485",1485,"tr3",0.117393954099299,-35.5000998821486,-35.3827059280493,0.125600495893383,-35.5083064239427,0,0,0
17,30,"glm","HOIF_basis_dim25",25,"nlshrink1",0.117393954099299,-0.0218070170490984,0.0955869370502006,0.125600495893383,-0.0300135588431823,0,0,0
17,30,"glm","HOIF_basis_dim261",261,"nlshrink2",0.117393954099299,-0.0584736713974213,0.0589202827018777,0.125600495893383,-0.0666802131915052,0,0,0
17,30,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.117393954099299,-0.134356010913933,-0.0169620568146341,0.125600495893383,-0.142562552708017,0,0,0
17,31,"glm","AIPW",NA,NA,0.143351499614436,NA,0.143351499614436,0.125600495893383,0.0177510037210526,0,0,0
17,31,"glm","HOIF_basis_dim25",25,"tr1",0.143351499614436,-0.00404080198507811,0.139310697629357,0.125600495893383,0.0137102017359746,0,0,0
17,31,"glm","HOIF_basis_dim261",261,"tr2",0.143351499614436,-0.106222949627197,0.0371285499872384,0.125600495893383,-0.0884719459061445,0,0,0
17,31,"glm","HOIF_basis_dim1485",1485,"tr3",0.143351499614436,21.1688892551776,21.312240754792,0.125600495893383,21.1866402588986,0,0,0
17,31,"glm","HOIF_basis_dim25",25,"nlshrink1",0.143351499614436,-0.00428130189086419,0.139070197723571,0.125600495893383,0.0134697018301884,0,0,0
17,31,"glm","HOIF_basis_dim261",261,"nlshrink2",0.143351499614436,-0.0499449977983751,0.0934065018160604,0.125600495893383,-0.0321939940773225,0,0,0
17,31,"glm","HOIF_basis_dim1485",1485,"nlshrink3",0.143351499614436,-0.118652328005685,0.0246991716087507,0.125600495893383,-0.100901324284632,0,0,0
17,32,"glm","AIPW",NA,NA,0.110536536178058,NA,0.110536536178058,0.125600495893383,-0.0150639597153245,0,0,0
17,32,"glm","HOIF_basis_dim25",25,"tr1",0.110536536178058,-0.0276943543297068,0.0828421818483516,0.125600495893383,-0.0427583140450313,0,0,0
